name,values,variacion
ago.2020,93.28,-0.10999999999999943
sep.2020,93.41,0.12999999999999545
oct.2020,93.43,0.020000000000010232
nov.2020,93.91,0.47999999999998977
dic.2020,93.96,0.04999999999999716
ene.2021,94.66,0.7000000000000028
feb.2021,94.54,-0.11999999999999034
mar.2021,95.33,0.789999999999992
abr.2021,95.23,-0.09999999999999432
may.2021,95.49,0.2599999999999909
jun.2021,95.98,0.4900000000000091
jul.2021,96.95,0.9699999999999989
ago.2021,97.9,0.9500000000000028
sep.2021,98.3,0.3999999999999915
oct.2021,98.87,0.5700000000000074
nov.2021,99.22,0.3499999999999943
dic.2021,100.0,0.7800000000000011
ene.2022,100.04,0.04000000000000625
feb.2022,100.35,0.30999999999998806
mar.2022,101.84,1.490000000000009
abr.2022,102.82,0.9799999999999898
may.2022,103.21,0.39000000000000057
jun.2022,104.44,1.230000000000004
jul.2022,105.42,0.980000000000004
ago.2022,106.13,0.7099999999999937
sep.2022,106.68,0.5500000000000114
oct.2022,107.05,0.36999999999999034
nov.2022,107.6,0.5499999999999972
dic.2022,108.46,0.8599999999999994
ene.2023,108.7,0.2400000000000091
feb.2023,109.02,0.3199999999999932
mar.2023,110.39,1.3700000000000045
abr.2023,111.01,0.6200000000000045
may.2023,111.36,0.3499999999999943
jun.2023,111.19,-0.1700000000000017
jul.2023,111.62,0.4300000000000068
ago.2023,112.04,0.4200000000000017
sep.2023,112.06,0.01999999999999602
oct.2023,111.7,-0.35999999999999943
nov.2023,111.52,-0.18000000000000682
